Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Rel Change(%) - 1 day,Rel Change(%) - 7 day(1 week),Rel Change(%) - 30 day(1 month)
2021-10-05,284.04998779296875,290.3999938964844,284.04998779296875,288.760009765625,24960600,0.0,0,-1.1794,-4.9921,-6.7594
2021-10-04,287.3999938964844,287.75,280.25,283.1099853515625,31350700,0.0,0,1.8372,-3.984,-4.2867
2021-10-01,282.1199951171875,289.9800109863281,281.2900085449219,289.1000061035156,30086300,0.0,0,-1.2725,-5.1787,-2.3288
2021-09-30,285.7099914550781,287.8299865722656,281.6199951171875,281.9200134277344,32325800,0.0,0,0.2135,-3.4931,-2.2155
2021-09-29,285.1000061035156,286.7699890136719,283.010009765625,284.0,26353700,0.0,0,-1.6485,-3.939,-2.361
2021-09-28,289.79998779296875,290.7799987792969,282.75,283.5199890136719,43186200,0.0,0,-2.1877,-4.9586,-0.9765
2021-09-27,296.1400146484375,296.4700012207031,292.94000244140625,294.1700134277344,23571700,0.0,0,-0.7057,-2.5731,2.4357
2021-09-24,298.2300109863281,299.79998779296875,296.92999267578125,299.3500061035156,14999000,0.0,0,-0.2079,-1.6866,4.0733
2021-09-23,298.8500061035156,300.8999938964844,297.5299987792969,299.55999755859375,18604600,0.0,0,0.7094,-0.2376,4.0786
2021-09-22,296.7300109863281,300.2200012207031,294.510009765625,298.5799865722656,26626300,0.0,0,0.3505,-0.2763,2.8584
2021-09-21,295.69000244140625,297.5400085449219,294.07000732421875,294.79998779296875,22364100,0.0,0,-0.2164,-0.9233,
2021-09-20,296.3299865722656,298.7200012207031,289.5199890136719,294.29998779296875,38278700,0.0,0,-2.6457,-1.5152,
2021-09-17,304.1700134277344,304.5,299.5299987792969,299.8699951171875,41372500,0.0,0,0.1348,1.4433,
2021-09-16,303.760009765625,305.30999755859375,300.760009765625,305.2200012207031,19550800,0.0,0,0.1646,0.9053,
2021-09-15,303.260009765625,305.32000732421875,301.82000732421875,304.82000732421875,28356300,0.0,0,1.2201,0.7485,
2021-09-14,299.55999755859375,301.3900146484375,298.1000061035156,299.7900085449219,21853400,0.0,0,0.671,-0.8813,
2021-09-13,297.54998779296875,298.5400085449219,294.0799865722656,296.989990234375,23652900,0.0,0,-0.2924,-1.7879,
2021-09-10,298.4200134277344,299.9200134277344,295.3800048828125,295.7099914550781,19619400,0.0,0,-0.8042,-2.0106,
2021-09-09,300.82000732421875,302.1400146484375,297.0,297.25,19927000,0.0,0,0.3457,-0.0997,
2021-09-08,299.7799987792969,300.6099853515625,297.4700012207031,300.2099914550781,15046800,0.0,0,-0.4103,0.2635,
2021-09-07,301.010009765625,301.0899963378906,298.20001220703125,300.17999267578125,17180400,0.0,0,0.0067,0.0067,
2021-09-03,300.989990234375,302.6000061035156,300.260009765625,301.1400146484375,14747900,0.0,0,-0.402,-1.0997,
2021-09-02,302.20001220703125,303.3599853515625,300.17999267578125,301.1499938964844,16285600,0.0,0,-0.2217,-0.9331,
2021-09-01,302.8699951171875,305.19000244140625,301.489990234375,301.8299865722656,18983800,0.0,0,-0.5118,-0.1255,
2021-08-31,304.4200134277344,304.5,301.5,301.8800048828125,26285300,0.0,0,1.084,1.5439,
2021-08-30,301.1199951171875,304.2200012207031,301.05999755859375,303.5899963378906,16348100,0.0,0,0.7074,4.1279,
2021-08-27,298.989990234375,300.8699951171875,296.8299865722656,299.7200012207031,22597000,0.0,0,-0.6689,2.3245,
2021-08-26,300.989990234375,302.42999267578125,298.95001220703125,299.0899963378906,17666100,0.0,0,-1.0997,3.0428,
2021-08-25,304.29998779296875,304.5899963378906,300.4200134277344,302.010009765625,20006100,0.0,0,-0.2366,3.8351,
2021-08-24,305.0199890136719,305.6499938964844,302.0,302.6199951171875,18175800,0.0,0,0.5803,5.2761,
2021-08-23,303.25,305.3999938964844,301.8500061035156,304.6499938964844,22830200,0.0,0,1.1641,5.6612,
2021-08-20,299.7200012207031,305.8399963378906,298.05999755859375,304.3599853515625,40796100,0.0,0,3.6801,4.357,
2021-08-19,288.69000244140625,297.4700012207031,288.6400146484375,296.7699890136719,29850500,0.0,0,-1.1604,0.153,
2021-08-18,292.0400085449219,294.82000732421875,290.2699890136719,290.7300109863281,21813000,0.56,0,0.0715,,
2021-08-17,291.8313354418655,292.8693263490271,290.52381047937575,292.5199890136719,20075300,0.0,0,-0.2736,,
2021-08-16,292.62979982841046,294.25669023601256,289.4658433937204,294.037109375,22507600,0.0,0,1.2654,,
2021-08-13,288.92687997443096,292.3403280685862,288.74720076479184,292.2904357910156,18231400,0.0,0,0.9845,,
2021-08-12,286.08233945611937,289.4159540458037,285.79288503201803,289.2562561035156,14561300,0.0,0,-0.2023,,
2021-08-11,286.6612159010363,288.1084575524603,285.3137892702739,286.4017333984375,13955900,0.0,0,-0.5536,,
2021-08-10,288.24817631187767,288.69732867849,284.6550792160507,285.8927001953125,18616600,0.0,0,,,
